title,year,venue,link,cluster,contribution,relevance,threat,why
LLM+P: Empowering Large Language Models with Optimal Planning Proficiency,2023,arXiv,https://arxiv.org/abs/2304.11477,LLM plus classical planning,"translates natural-language tasks into PDDL, delegates planning to a symbolic solver, and translates plans back",5,high,Closest architectural ancestor; it does not study candidate-pool selection pressure over verifier-compatible loopholes.
ReAct: Synergizing Reasoning and Acting in Language Models,2023,ICLR/arXiv,https://arxiv.org/abs/2210.03629,LLM agents and tool use,interleaves language reasoning traces with environment actions,4,medium,"Motivates language-action loops, but not symbolic checker selection or finite-N loophole concentration."
"Do As I Can, Not As I Say: Grounding Language in Robotic Affordances",2022,CoRL/arXiv,https://arxiv.org/abs/2204.01691,language-conditioned robotics,combines language-model scores with affordance values for robot skill selection,4,medium,"Uses an external feasibility signal, but the paper's central issue is not proxy-ranked selection over feasible-but-semantically-wrong plans."
Inner Monologue: Embodied Reasoning through Planning with Language Models,2022,CoRL/arXiv,https://arxiv.org/abs/2207.05608,language-conditioned robotics,feeds environment feedback into language-model planning loops,4,medium,"Adds feedback, but does not isolate proxy-selected semantic-symbolic mismatch as N grows."
Code as Policies: Language Model Programs for Embodied Control,2023,ICRA/arXiv,https://arxiv.org/abs/2209.07753,programmatic planning,represents robot policies as code generated by LLMs,3,low,"Program synthesis can contain execution mismatch, but the selection law and symbolic loopholes here are different."
Voyager: An Open-Ended Embodied Agent with Large Language Models,2023,arXiv,https://arxiv.org/abs/2305.16291,LLM agents and tool use,"builds an autonomous Minecraft agent with curriculum, skill library, and iterative prompting",3,low,"Emphasizes open-ended skill acquisition, not verifier-induced proxy-selection collapse."
Reflexion: Language Agents with Verbal Reinforcement Learning,2023,NeurIPS/arXiv,https://arxiv.org/abs/2303.11366,self-refinement and feedback,uses verbal feedback memories to improve language agents across attempts,3,medium,A plausible repair family; it does not give the semantic-symbolic loophole diagnostic or law.
Tree of Thoughts: Deliberate Problem Solving with Large Language Models,2023,NeurIPS/arXiv,https://arxiv.org/abs/2305.10601,inference-time search,searches over language reasoning states using evaluation and branching,4,medium,Relevant candidate-search ancestor; it is not about symbolic planners or execution-validity collapse.
Self-Consistency Improves Chain of Thought Reasoning in Language Models,2023,ICLR/arXiv,https://arxiv.org/abs/2203.11171,inference-time search,samples multiple reasoning paths and marginalizes over answers,3,medium,Canonical sample-more inference; it lacks an external symbolic verifier and hidden executor.
Toolformer: Language Models Can Teach Themselves to Use Tools,2023,NeurIPS/arXiv,https://arxiv.org/abs/2302.04761,tool use,self-supervises API call insertion for language models,2,low,Tool-use ancestor but not a planner-verifier selection study.
"MRKL Systems: A modular, neuro-symbolic architecture that combines large language models, external knowledge sources and discrete reasoning",2022,arXiv,https://arxiv.org/abs/2205.00445,neuro-symbolic systems,proposes routing LLMs to symbolic and external modules,3,low,"Broad architecture motivation, not a boundary-selection mechanism paper."
